NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Chai Da Talab,200,"Sandwich,Fast Food,Beverages",Bhopal,BHEL,Quick Bites,Average,3.2,20
RK's Idli,250,South Indian,Bhopal,BHEL,Quick Bites,Good,3.6,27
Fresh Fruit Salad Centre,200,Healthy Food,Bhopal,TT Nagar,Quick Bites,Good,3.6,17
Food Venture,200,"Chinese,North Indian,Sandwich,Burger",Bhopal,Gulmohar Colony,none,Average,3.2,16
Desi Gali FastFood,350,Fast Food,Bhopal,Jhangirabad,Quick Bites,Average,3.4,16
Club D Zorba,600,"North Indian,Chinese,Biryani,Desserts,Beverages",Bhopal,Gulmohar Colony,Casual Dining,Good,3.6,19
Balaji Cafe,200,South Indian,Bhopal,Hoshangabad Road,Quick Bites,Good,3.6,18
Twister King,250,North Indian,Bhopal,JP Nagar,Quick Bites,Very Good,4.0,53
Agrawal Puri Bhandar,200,Street Food,Bhopal,Peer Gate Area,Quick Bites,Average,2.7,23
Swad Desh,200,"North Indian,Fast Food",Bhopal,Maharana Pratap Nagar,Quick Bites,Average,3.4,11
The Little Caffe,300,"Cafe,Continental,Italian",Bhopal,BHEL,Quick Bites,Not rated,-,-
Bhagat Bakers,350,Bakery,Bhopal,Kolar,Bakery,Average,3.4,13
Jai Maa Ambey Restaurant,500,North Indian,Bhopal,BHEL,Quick Bites,Good,3.6,21
The London Shakes & Cafe,300,"Cafe,Beverages,Fast Food",Bhopal,Maharana Pratap Nagar,Café,Good,3.5,15
Mix n Match,250,Fast Food,Bhopal,Aashima Mall-- Hoshangabad Road,Quick Bites,Average,3.3,14
Punjabi Chulha,300,North Indian,Bhopal,Maharana Pratap Nagar,Quick Bites,Average,3.2,7
Foodies Cafe,200,"Fast Food,Tea",Bhopal,BHEL,Quick Bites,Average,3.4,19
Paratha Shots,250,"North Indian,Fast Food",Bhopal,Maharana Pratap Nagar,Quick Bites,Average,3.4,13
Anugrah Restaurant,100,Street Food,Bhopal,Hoshangabad Road,none,Average,3.4,13
Hotel Kolar,650,North Indian,Bhopal,Kolar,Casual Dining,Average,2.6,17
Jain Ke Namkeen,200,Fast Food,Bhopal,Peer Gate Area,Quick Bites,Good,3.5,14
Waterville,900,"North Indian,Chinese,Continental",Bhopal,Kohefiza,Casual Dining,Good,3.6,58
Shree Nashta Center,400,Fast Food,Bhopal,BHEL,Quick Bites,Average,3.3,8
Tafoos,400,"North Indian,Chinese",Bhopal,BHEL,none,Not rated,-,-
House Of Food,250,Fast Food,Bhopal,Kolar,Quick Bites,Average,3.3,7
Tukku Food House,300,North Indian,Bhopal,BHEL,Quick Bites,Average,3.3,11
Instagaram,250,Fast Food,Bhopal,Arera Colony,Quick Bites,Average,2.9,17
Mr Cook,200,"North Indian,Street Food,Chinese,South Indian,Fast Food",Bhopal,Habib Ganj,Quick Bites,Average,3.3,19
Truly Fresh,250,"Fast Food,Sandwich,Beverages",Bhopal,Hoshangabad Road,Quick Bites,Average,3.4,10
Alfresco -The Food Truck,250,"Continental,Chinese,Fast Food",Bhopal,Gulmohar Colony,Food Truck,Average,3.4,14
Aarohi's Pokket Cafe,400,"Cafe,Fast Food,Beverages",Bhopal,Maharana Pratap Nagar,Café,None,NEW,NEW
Ali Baba Caves,1000,"Continental,North Indian,Italian,Chinese",Bhopal,Gulmohar Colony,Casual Dining,Good,3.7,81
Chennai Dosa House,200,"Fast Food,South Indian",Bhopal,Kolar,Quick Bites,Average,3.3,10
Al Baksh,400,Fast Food,Bhopal,TT Nagar,Quick Bites,Very Good,4.0,93
Raw @ BAGMUGALIA,450,"Italian,Salad,Healthy Food",Bhopal,Hoshangabad Road,Quick Bites,Average,3.3,12
The Maggie Boy,150,Fast Food,Bhopal,Maharana Pratap Nagar,Quick Bites,Average,3.2,6
Food Point Restaurant,150,"North Indian,Fast Food",Bhopal,Jhangirabad,Quick Bites,Very Good,4.0,55
Taste 53,100,Street Food,Bhopal,Jhangirabad,none,None,NEW,NEW
The Sandwich Hub,200,Sandwich,Bhopal,Gulmohar Colony,Quick Bites,Average,3.4,15
Mummy Ki Biryani,200,Biryani,Bhopal,BHEL,none,Average,2.9,14
Goodricke Teapot,300,"Cafe,Tea,Coffee",Bhopal,TT Nagar,Café,Average,3.1,8
Pasta Lovesta,200,"Continental,Chinese,Beverages",Bhopal,Arera Colony,Café,Not rated,-,-
Morena Dairy,250,"Mithai,Fast Food",Bhopal,Arera Colony,Sweet Shop,Average,3.4,15
Hotel La Pearl,400,North Indian,Bhopal,Arera Colony,Quick Bites,Average,3.1,14
Balaji Sweets and Namkeen,150,"Mithai,Street Food,Desserts",Bhopal,Kohefiza,Sweet Shop,Average,3.3,4
Jaiswal Chinese Centre,250,"Chinese,Fast Food,Street Food",Bhopal,Hoshangabad Road,Quick Bites,Average,3.3,8
Raj Gajak,200,North Indian,Bhopal,Peer Gate Area,Casual Dining,Average,2.9,12
