_NAME_,_PRICE_,_CUSINE_CATEGORY_,_CITY_,_REGION_,_URL_,_PAGE_NO_,_CUSINE_TYPE_,_TIMING_,_RATING_TYPE_,_RATING_,_VOTES_
"""Shahi Bhoj Restaurant""","""400""","""North Indian""","""Aurangabad""","""CIDCO""","""https://www.zomato.com/aurangabad/shahi-bhoj-restaurant-cidco/info""","""3""","""Quick Bites""","""1130am to 4pm,645pm to 11pm(Mon-Sat),1130am...""","""Good""","""3.9""","""165"""
"""Food-de-bollywood""","""800""","""North Indian,Continental""","""Aurangabad""","""CIDCO""","""https://www.zomato.com/aurangabad/food-de-bollywood-1-cidco/info""","""3""","""Casual Dining""","""8am to 11pm(Mon-Sun)""","""Very Good""","""4.2""","""208"""
"""Pride Kitchen Hydrabadi Biryani""","""250""","""Biryani,North Indian""","""Aurangabad""","""Usmanpura""","""https://www.zomato.com/aurangabad/pride-kitchen-hydrabadi-biryani-usmanpura/info""","""3""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Good""","""3.8""","""106"""
"""Shawarma House""","""300""","""Fast Food,Chinese,Lebanese,Rolls,Momos,Arabian""","""Aurangabad""","""Akashwani""","""https://www.zomato.com/aurangabad/shawarma-house-akashwani/info""","""3""","""Quick Bites""","""12noon to 11pm(Mon-Sun)""","""Good""","""3.9""","""136"""
"""Naaz Restaurant""","""250""","""North Indian,Chinese""","""Aurangabad""","""MIDC""","""https://www.zomato.com/aurangabad/naaz-restaurant-midc/info""","""3""","""Casual Dining""","""9am to 1130am(Mon),9am to 1145am(Tue),8am to ...""","""Good""","""3.9""","""121"""
"""Bombay Bistro""","""500""","""Cafe""","""Aurangabad""","""Nyay Nagar""","""https://www.zomato.com/aurangabad/bombay-bistro-nyay-nagar/info""","""3""","""Café""","""11am to 11pm(Mon-Sun)""","""Very Good""","""4.4""","""164"""
"""New Mughal Darbar""","""550""","""Mughlai,Biryani""","""Aurangabad""","""CIDCO""","""https://www.zomato.com/aurangabad/new-mughal-darbar-cidco/info""","""3""","""Casual Dining""","""12noon to 3pm,7pm to 11pm(Mon-Sun)""","""Poor""","""2.4""","""224"""
"""ZAINIMS""","""250""","""Fast Food,Biryani""","""Aurangabad""","""CIDCO""","""https://www.zomato.com/aurangabad/zainims-cidco/info""","""3""","""Quick Bites""","""11am to 12midnight(Mon-Sun)""","""Good""","""3.6""","""92"""
"""Suvidha Veg Restaurant""","""250""","""North Indian,Chinese,South Indian""","""Aurangabad""","""Waluj""","""https://www.zomato.com/aurangabad/suvidha-veg-restaurant-waluj/info""","""3""","""Quick Bites""","""9am to 11pm(Mon-Sun)""","""Very Good""","""4.3""","""162"""
"""Te Amo""","""900""","""North Indian,Chinese,Continental""","""Aurangabad""","""Akashwani""","""https://www.zomato.com/aurangabad/te-amo-3-akashwani/info""","""3""","""Casual Dining""","""12noon to 315pm,7pm to 11pm(Mon-Sun)""","""Very Good""","""4.1""","""144"""
"""Kakaji's Veg Restaurant""","""400""","""North Indian,Chinese,Fast Food,Beverages""","""Aurangabad""","""CIDCO""","""https://www.zomato.com/aurangabad/kakajis-veg-restaurant-cidco/info""","""3""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Good""","""3.7""","""117"""
"""Jodhpur Chat Bhandar""","""150""","""Street Food""","""Aurangabad""","""Akashwani""","""https://www.zomato.com/aurangabad/jodhpur-chat-bhandar-akashwani/info""","""30""","""Quick Bites""","""9am to 11pm(Mon-Sun)""","""Average""","""3.3""","""8"""
"""Sweet India""","""300""","""Mithai""","""Aurangabad""","""Anand Nagar""","""https://www.zomato.com/aurangabad/sweet-india-anand-nagar/info""","""30""","""Sweet Shop""","""11am to 11pm(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""Green Park""","""600""","""North Indian,Chinese""","""Aurangabad""","""CIDCO""","""https://www.zomato.com/aurangabad/green-park-cidco/info""","""30""","""Casual Dining""","""12noon to 12midnight(Mon-Sun)""","""Good""","""3.6""","""24"""
"""Deshi Foodwala (Bapus Rasoi)""","""150""","""North Indian""","""Aurangabad""","""Ulkanagari""","""https://www.zomato.com/aurangabad/deshi-foodwala-bapus-rasoi-ulkanagari/info""","""30""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""2.9""","""5"""
"""Hyderabadi's Dum Biryani""","""300""","""Biryani""","""Aurangabad""","""CIDCO""","""https://www.zomato.com/aurangabad/hyderabadis-dum-biryani-cidco/info""","""30""","""Quick Bites""","""1pm to 11pm(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""Patiala Peg""","""1000""","""North Indian,Chinese""","""Aurangabad""","""Gadia Vihar""","""https://www.zomato.com/aurangabad/patiala-peg-gadia-vihar/info""","""30""","""Casual Dining""","""11am to 11pm(Mon-Sun)""","""Good""","""3.5""","""20"""
"""Cafe Topping House""","""200""","""Fast Food,Cafe,Ice Cream,Burger,Beverages""","""Aurangabad""","""Nirala Bazar""","""https://www.zomato.com/aurangabad/cafe-topping-house-nirala-bazar/info""","""30""","""Quick Bites""","""10am to 11pm(Mon-Sun)""","""Good""","""3.5""","""12"""
"""Navkar Veg Restaurant""","""200""","""North Indian,Fast Food""","""Aurangabad""","""Waluj""","""https://www.zomato.com/aurangabad/navkar-veg-restaurant-waluj/info""","""30""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""3.2""","""5"""
"""Mind Blowing Naturals""","""300""","""Ice Cream,Desserts""","""Aurangabad""","""Ulkanagari""","""https://www.zomato.com/aurangabad/mind-blowing-naturals-ulkanagari/info""","""30""","""Dessert Parlor""","""1130am to 1130pm(Mon-Thu),1130am to 12midnight...""","""Average""","""3.2""","""11"""
